dbn,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,QR_1_1,QR_1_2,QR_2_2,QR_3_4,QR_4_2,QR_1_4,QR_1_3,QR_3_1,QR_4_1,QR_5_1,ELL,IEP,hs_overage_undercredit_hoi_pct,temp_housing_pct,hra_elig_pct,median_distance,Principal_experience,Teach_3_more_exp,val_attendance_hs_all,val_chronic_absent_hs_all,Teacher_attendance,n_pct_cpci_all,val_pct_cpci_all,n_grad_pct_4_all,val_grad_pct_4_all,n_grad_pct_6_all,val_grad_pct_6_all,n_act_engl,val_act_engl,n_act_math,val_act_math,n_act_read,val_act_read,n_act_scie,val_act_scie,n_mean_act_engl,val_mean_act_engl,n_mean_act_math,val_mean_act_math,n_mean_act_read,val_mean_act_read,n_mean_act_scie,val_mean_act_scie,n_mean_sat_math,val_mean_sat_math,n_mean_sat_writ,val_mean_sat_writ,n_pct_act_engl,val_pct_act_engl,n_pct_act_math,val_pct_act_math,n_pct_sat_math,val_pct_sat_math,n_pct_sat_writ,val_pct_sat_writ
01M292,Orchard Collegiate Academy,High School,296,0.76,0.84,0.83,0.89,0.91,0.91,0.483,0.517,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,0.074,0.267,0.037,0.142,0.726,1.1,6.1,0.714,0.807,0.566,0.982,65,0.315,65,0.938,28,0.893,65,0,65,0,65,0,65,0,,,,,,,,,59,431,59,448,65,0,65,0,65,0.092,65,0.292
01M448,University Neighborhood High School,High School,570,0.82,0.95,0.92,0.97,0.86,0.95,0.533,0.467,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,0.14,0.174,0.039,0.132,0.726,4.9,2.8,0.879,0.86,0.382,0.992,134,0.955,134,0.985,99,0.96,134,0,134,0,134,0,134,0,,,,,,,,,129,497,129,469,134,0,134,0,134,0.388,134,0.448
01M450,East Side Community School,High School,377,0.85,0.91,0.91,0.95,0.96,0.97,0.507,0.493,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,0.008,0.249,0.005,0.109,0.435,1.2,20,0.811,0.975,0.048,1,79,0.867,79,0.924,94,0.947,79,0,79,0,79,0,79,0,7,,7,,7,,7,,72,496,72,502,79,0,79,0,79,0.354,79,0.557
01M539,"New Explorations into Science, Technology and Math",High School,664,0.78,0.86,0.8,0.88,0.94,0.92,0.514,0.486,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,0.002,0.172,0.008,0.023,0.286,4.2,1.2,0.86,0.947,0.123,0.988,133,0.97,133,0.985,140,1,133,0.03,133,0.03,133,0.03,133,0.03,4,,4,,4,,4,,126,624,126,617,133,0.03,133,0.023,133,0.774,133,0.85
01M696,Bard High School Early College,High School,636,0.85,0.8,0.83,0.84,0.89,0.9,0.56,0.44,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Developing,Proficient,0,0.131,0.002,0.024,0.296,5.1,11,0.919,0.942,0.198,0.989,161,0.994,161,0.95,150,0.993,161,0.05,161,0.05,161,0.05,161,0.05,8,34.5,8,34.5,8,34.5,8,34.5,152,643,152,643,161,0.05,161,0.043,161,0.882,161,0.919
02M135,The Urban Assembly School for Emergency Management,High School,272,0.75,0.87,0.83,0.85,0.92,0.9,0.563,0.438,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.077,0.21,0.044,0.151,0.702,7.6,3.1,0.696,0.862,0.358,0.984,55,0.836,55,0.909,61,0.902,55,0,55,0,55,0,55,0,,,,,,,,,43,451,43,468,55,0,55,0,55,0.127,55,0.345
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,406,0.74,0.84,0.86,0.84,0.93,0.93,0.379,0.621,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,0.069,0.293,0.076,0.108,0.751,5.5,0.5,0.756,0.764,0.638,0.987,105,0.848,105,0.876,80,0.9,105,0,105,0,105,0,105,0,,,,,,,,,94,429,94,452,105,0,105,0,105,0.105,105,0.257
02M260,The Clinton School,High School,505,0.82,0.9,0.83,0.88,0.91,0.93,0.661,0.339,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,0.008,0.19,0.006,0.01,0.147,1.8,10,0.868,0.93,0.202,0.992,124,0.802,124,0.976,87,0.966,124,0,124,0,124,0,124,0,7,,7,,7,,7,,101,586,101,607,124,0,124,0,124,0.669,124,0.766
02M280,Manhattan Early College School for Advertising,High School,460,0.87,1,0.98,0.98,0.88,0.97,0.504,0.496,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Proficient,0.065,0.178,0.037,0.104,0.687,6.9,3.2,0.771,0.812,0.5,0.987,100,0.88,101,0.921,80,0.963,101,0,101,0,101,0,101,0,7,,7,,7,,7,,90,462,90,476,100,0,100,0,100,0.18,100,0.47
02M282,Urban Assembly Maker Academy,High School,484,0.84,0.89,0.89,0.93,0.91,0.93,0.306,0.694,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.058,0.209,0.041,0.112,0.618,7.1,0.1,0.667,0.813,0.552,0.99,105,0.971,105,0.943,77,0.909,105,0,105,0,105,0,105,0,,,,,,,,,92,444,92,459,105,0,105,0,105,0.181,105,0.305
02M288,Food and Finance High School,High School,417,0.69,0.74,0.76,0.82,0.91,0.87,0.564,0.436,Proficient,Proficient,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,0.046,0.228,0.029,0.115,0.707,6.3,17.2,0.862,0.818,0.416,0.993,81,0.802,81,0.815,82,0.902,81,0,81,0,81,0,81,0,,,,,,,,,67,427,67,434,81,0,81,0,81,0.111,81,0.16
02M294,Essex Street Academy,High School,370,0.85,0.95,0.89,0.92,0.94,0.96,0.576,0.424,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,0.027,0.262,0.041,0.051,0.535,5,5.7,1,0.846,0.444,0.978,95,0.811,95,0.979,70,0.957,95,0,95,0,95,0,95,0,,,,,,,,,88,428,88,456,95,0,95,0,95,0.063,95,0.295
02M298,Pace High School,High School,595,0.75,0.77,0.82,0.8,0.88,0.88,0.555,0.445,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,0.057,0.21,0.045,0.074,0.659,6.8,5.8,0.897,0.744,0.594,0.986,140,0.654,141,0.752,134,0.918,141,0,141,0,141,0,141,0,7,,7,,7,,7,,118,462,118,463,140,0,140,0,140,0.2,140,0.307
02M300,"Urban Assembly School of Design and Construction,",High School,257,0.75,0.91,0.89,0.92,0.92,0.98,0.296,0.704,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,0.078,0.265,0.047,0.132,0.778,6.1,3,0.909,0.843,0.448,0.985,57,0.737,57,0.842,84,0.762,57,0,57,0,57,0,57,0,,,,,,,,,48,450,48,442,57,0,57,0,57,0.175,57,0.228
02M303,"Facing History School, The",High School,331,0.78,0.97,0.85,0.98,0.94,0.98,0.492,0.508,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Proficient,0.118,0.299,0.063,0.16,0.758,5.4,10,0.821,0.812,0.558,0.972,66,0.235,66,0.818,99,0.828,66,0,66,0,66,0,66,0,7,,7,,7,,7,,48,412,48,438,66,0,66,0,66,0.015,66,0.167
02M305,"Urban Assembly Academy of Government and Law, The",High School,349,0.71,0.85,0.82,0.88,0.89,0.94,0.59,0.41,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,0.043,0.206,0.034,0.112,0.774,6.8,7.1,0.667,0.876,0.447,0.985,60,0.842,60,0.883,61,0.902,60,0,60,0,60,0,60,0,,,,,,,,,51,436,51,449,60,0,60,0,60,0.117,60,0.283
02M308,Lower Manhattan Arts Academy,High School,346,0.67,0.59,0.74,0.6,0.73,0.67,0.624,0.376,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,0.066,0.306,0.084,0.168,0.766,5,2.2,0.519,0.859,0.496,0.978,76,0.829,76,0.803,65,0.831,76,0,76,0,76,0,76,0,7,,7,,7,,7,,55,399,55,423,76,0,76,0,76,0.026,76,0.158
02M316,"Urban Assembly School of Business for Young Women,",High School,147,0.71,0.88,0.83,0.9,0.85,0.89,1,0,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,0.136,0.163,0.136,0.163,0.762,9.1,16.2,0.818,0.697,0.676,0.965,35,0.629,35,0.743,47,0.83,35,0,35,0,35,0,35,0,,,,,,,,,28,408,28,431,35,0,35,0,35,0.029,35,0.171
