SchoolDigger.com School Ranking Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York High School Rankings / School Year: 2018-2019 Test Grades:  9th, 10th, 11th, 12th, End-of-course, Tests: Regents Algebra I, Regents Chemistry, Regents Algebra II, Regents English, Regents Geometry, Regents Earth Science, Regents Global History and Geography, Regents Living Environment, Regents Physics, Regents U.S. History and Government, Schools: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright 2022, SchoolDigger.com. Not for commercial use. Do not distribute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank (2018-19),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2018-19),Average Standard Score (2017-18),Rank (2017-18),Rank Change from (2017-18),SchoolDigger Star Rating
1,The Bronx High School Of Science,https://www.schooldigger.com/go/NY/schools/0008701922/school.aspx,New York City Geographic District #10,https://www.schooldigger.com/go/NY/district/00087/search.aspx,75 W 205th St,Bronx,https://www.schooldigger.com/go/NY/city/Bronx/search.aspx,10468,Bronx County,(718) 817-7700,9,12,No,No,No,No,3020,141,21.4,42.60%,2.60%,0.70%,64.00%,7.10%,0.80%,2.50%,22.30%,87.4,87.2,3,2,5
2,Stuyvesant High School,https://www.schooldigger.com/go/NY/schools/0007702877/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,345 Chambers St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10282,New York County,(212) 312-4800,9,12,No,No,No,No,3319,158.4,20.9,43.00%,0.90%,0.50%,72.60%,3.00%,0.60%,3.60%,18.90%,87.4,87.3,2,0,5
3,Queens High School for the Sciences at York Colleg,https://www.schooldigger.com/go/NY/schools/0010005297/school.aspx,New York City Geographic District #28,https://www.schooldigger.com/go/NY/district/00100/search.aspx,94-50 159th St,Jamaica,https://www.schooldigger.com/go/NY/city/Jamaica/search.aspx,11433,Queens County,(718) 657-3181,9,12,No,No,No,No,475,27,17.5,60.80%,3.20%,0.40%,81.50%,4.00%,0.40%,4.40%,6.10%,87.1,87.8,1,-2,5
4,Scarsdale Senior High School,https://www.schooldigger.com/go/NY/schools/2595003566/school.aspx,Scarsdale Union Free School District,https://www.schooldigger.com/go/NY/district/25950/search.aspx,1057 Post Rd,Scarsdale,https://www.schooldigger.com/go/NY/city/Scarsdale/search.aspx,10583,Westchester County,(914) 721-2450,9,12,No,No,No,No,1530,131.2,11.6,0.00%,1.40%,0.10%,16.70%,7.80%,0.10%,5.60%,68.40%,87.1,86,10,6,5
5,High School Of American Studies At Lehman College,https://www.schooldigger.com/go/NY/schools/0008705190/school.aspx,New York City Geographic District #10,https://www.schooldigger.com/go/NY/district/00087/search.aspx,2925 Goulden Ave,Bronx,https://www.schooldigger.com/go/NY/city/Bronx/search.aspx,10468,Bronx County,(718) 329-2144,9,12,No,No,No,No,412,25,16.4,23.80%,3.90%,0.70%,20.60%,9.70%,1.20%,7.30%,56.60%,86.8,86.9,4,-1,5
6,Townsend Harris High School,https://www.schooldigger.com/go/NY/schools/0012204485/school.aspx,New York City Geographic District #25,https://www.schooldigger.com/go/NY/district/00122/search.aspx,149-11 Melbourne Ave,Flushing,https://www.schooldigger.com/go/NY/city/Flushing/search.aspx,11367,Queens County,(718) 575-5580,9,12,No,No,No,No,1183,56,21.1,47.50%,5.20%,0.90%,55.30%,12.30%,0.50%,6.40%,19.40%,86.7,86.9,5,-1,5
7,Bronxville High School,https://www.schooldigger.com/go/NY/schools/0564000291/school.aspx,Bronxville Union Free School District,https://www.schooldigger.com/go/NY/district/05640/search.aspx,177 Pondfield Rd,Bronxville,https://www.schooldigger.com/go/NY/city/Bronxville/search.aspx,10708,Westchester County,(914) 395-0500,9,12,Yes,No,No,No,527,34.6,15.2,3.60%,0.40%,0.00%,7.80%,4.20%,0.00%,3.80%,83.90%,86.6,84.9,21,14,5
8,Staten Island Technical High School,https://www.schooldigger.com/go/NY/schools/0010304186/school.aspx,New York City Geographic District #31,https://www.schooldigger.com/go/NY/district/00103/search.aspx,485 Clawson St,Staten Island,https://www.schooldigger.com/go/NY/city/Staten+Island/search.aspx,10306,Richmond County,(718) 667-3222,9,12,No,No,Yes,No,1332,62.5,21.3,42.30%,0.70%,0.30%,49.70%,2.10%,0.20%,5.00%,42.00%,86.3,86.6,8,0,5
9,Horace Greeley High School,https://www.schooldigger.com/go/NY/schools/0699000488/school.aspx,Chappaqua Central School District,https://www.schooldigger.com/go/NY/district/06990/search.aspx,70 Roaring Brook Rd,Chappaqua,https://www.schooldigger.com/go/NY/city/Chappaqua/search.aspx,10514,Westchester County,(914) 238-7201,9,12,No,No,No,No,1247,108.1,11.5,4.90%,0.70%,0.00%,12.30%,5.40%,0.00%,4.30%,77.30%,86,85.9,11,2,5
10,Brooklyn Technical High School,https://www.schooldigger.com/go/NY/schools/0009101928/school.aspx,New York City Geographic District #13,https://www.schooldigger.com/go/NY/district/00091/search.aspx,29 Ft Greene Pl,Brooklyn,https://www.schooldigger.com/go/NY/city/Brooklyn/search.aspx,11217,Kings County,(718) 804-6400,9,12,No,No,No,No,5934,269.6,22,59.50%,5.80%,0.50%,59.90%,7.10%,0.70%,1.50%,24.50%,86,85.9,12,2,5
